iter	Logloss
0	0.6859597306
1	0.6788181276
2	0.6717785943
3	0.6648848011
4	0.6581910073
5	0.6516317656
6	0.6451421496
7	0.6390887203
8	0.6329378663
9	0.6269816137
10	0.6210656026
11	0.6154243902
12	0.6099795825
13	0.6044765771
14	0.5995205514
15	0.5946570798
16	0.5897773065
17	0.585047898
18	0.5800338148
19	0.5752914994
20	0.5705930445
21	0.5660152946
22	0.5617173285
23	0.5575386142
24	0.553440832
25	0.5494462738
26	0.5454016977
27	0.5413929767
28	0.5373773949
29	0.5335596746
30	0.5297717127
31	0.526344692
32	0.5227292754
33	0.5192584847
34	0.5161239087
35	0.5128358419
36	0.5096991435
37	0.50668542
38	0.5036168843
39	0.5007799235
40	0.4978754407
41	0.4949270349
42	0.4919796101
43	0.4892621322
44	0.4867505601
45	0.4841576976
46	0.4816614472
47	0.4790102359
48	0.4766623312
49	0.4743160118
50	0.4720960763
51	0.4698686482
52	0.4677219557
53	0.4655061924
54	0.4635285884
55	0.4614168224
56	0.4595651134
57	0.4575685212
58	0.4556400019
59	0.4538804561
60	0.4521853432
61	0.4503715705
62	0.448659197
63	0.4471333942
64	0.4454040944
65	0.4437968098
66	0.4423066229
67	0.4408572809
68	0.4393265074
69	0.4379380571
70	0.4364261402
71	0.4350925731
72	0.4336808795
73	0.4322329425
74	0.4308777689
75	0.4297253715
76	0.4283794641
77	0.4272468948
78	0.4260650073
79	0.4248814939
80	0.4238352877
81	0.4228043554
82	0.4216756423
83	0.4205014787
84	0.4192775226
85	0.4182785471
86	0.4172000304
87	0.4161826049
88	0.4151246639
89	0.4140963891
90	0.4131245732
91	0.4122054135
92	0.4112275648
93	0.4103646956
94	0.4094340552
95	0.4084467009
96	0.4075340139
97	0.4067547721
98	0.4060245007
99	0.4052791849
100	0.404597308
101	0.4037653529
102	0.4030440153
103	0.4022079728
104	0.4014394397
105	0.4006924016
106	0.4000643631
107	0.3994321081
108	0.398889368
109	0.3983756499
110	0.3977929675
111	0.397263939
112	0.3965812667
113	0.3960750473
114	0.3954794838
115	0.3949497097
116	0.3943322564
117	0.3938249166
118	0.3932625729
119	0.3926750518
120	0.3921947365
121	0.3916737375
122	0.3911242087
123	0.3905311352
124	0.3899441646
125	0.3895658402
126	0.3890969149
127	0.3886749886
128	0.3882107818
129	0.3878421244
130	0.3873780416
131	0.3869147045
132	0.3864460631
133	0.3860787133
134	0.3856432641
135	0.3851759265
136	0.3848434722
137	0.3844866624
138	0.3840852343
139	0.3836191061
140	0.3832691149
141	0.3829774313
142	0.3826539495
143	0.3823729672
144	0.3820136257
145	0.3816884922
146	0.3813657314
147	0.381067324
148	0.3806828331
149	0.3803542266
150	0.3800340626
151	0.3796903001
152	0.3793668791
153	0.3790808575
154	0.3787052627
155	0.3783886479
156	0.378105559
157	0.3779253903
158	0.3776263853
159	0.377345346
160	0.3770054747
161	0.3767889101
162	0.3765036764
163	0.3762603529
164	0.3760266352
165	0.3758224173
166	0.3755454973
167	0.3753092968
168	0.3750934835
169	0.3748291886
170	0.3745771593
171	0.3743741371
172	0.3740998761
173	0.373888892
174	0.3737181081
175	0.373517165
176	0.3732744893
177	0.3730834811
178	0.3728050256
179	0.3726420055
180	0.3724798214
181	0.3723005525
182	0.3720741797
183	0.371854575
184	0.3716965088
185	0.3715195094
186	0.3714068246
187	0.3712024845
188	0.3709956466
189	0.3708037026
190	0.3707018111
191	0.370539133
192	0.3703524311
193	0.3701927123
194	0.370056093
195	0.3699352669
196	0.3697232218
197	0.3695092336
198	0.3693690337
199	0.3691957105
200	0.3690628509
201	0.3688875655
202	0.3687509105
203	0.3685119987
204	0.3683566516
205	0.3682123014
206	0.3680839872
207	0.3679526877
208	0.367816025
209	0.3676434185
210	0.3674793751
211	0.367290793
212	0.3671226995
213	0.366927226
214	0.3667915824
215	0.36667039
216	0.3665532084
217	0.366428065
218	0.3662619375
219	0.3661156974
220	0.3659398905
221	0.3657601989
222	0.365659826
223	0.3655082344
224	0.3654055378
225	0.3653125699
226	0.3651632081
227	0.3650297002
228	0.3649527401
229	0.3648352455
230	0.3646798931
231	0.3645567741
232	0.364430365
233	0.364335308
234	0.3641893305
235	0.3641101751
236	0.3639730056
237	0.363875429
238	0.3637559701
239	0.3636783182
240	0.3635533211
241	0.363503015
242	0.3633831395
243	0.363295374
244	0.3631775324
245	0.363069395
246	0.362963047
247	0.3628965119
248	0.362785329
249	0.362667448
250	0.3625803738
251	0.3624688752
252	0.3623921647
253	0.3622927448
254	0.3622455751
255	0.3621414406
256	0.3620653107
257	0.361949361
258	0.3619119816
259	0.3618368637
260	0.3617758914
261	0.3617282045
262	0.3616318346
263	0.3615188805
264	0.3614577095
265	0.3613437955
266	0.3612634995
267	0.3612019025
268	0.3611092998
269	0.3610174975
270	0.360963256
271	0.3608670389
272	0.360798223
273	0.3606681758
274	0.3605809879
275	0.3604577313
276	0.3603440312
277	0.3602618065
278	0.3601515652
279	0.3600884578
280	0.3600215686
281	0.3599483965
282	0.359863572
283	0.3597864812
284	0.3596925675
285	0.3595643711
286	0.3595470056
287	0.3594203114
288	0.3593402691
289	0.3592954926
290	0.3592176032
291	0.3591643713
292	0.3590661887
293	0.3590093737
294	0.3589608911
295	0.3589157754
296	0.3588657296
297	0.3587932061
298	0.3586731714
299	0.3585671569
300	0.3585030896
301	0.3584489694
302	0.3583780025
303	0.3583113951
304	0.3582739308
305	0.3581952336
306	0.3580815207
307	0.3580275527
308	0.3579985607
309	0.3578762381
310	0.3578211286
311	0.3577713852
312	0.3576764007
313	0.3575942243
314	0.3575396187
315	0.3574965884
316	0.3574169806
317	0.357285174
318	0.3572248195
319	0.3571837218
320	0.3571188878
321	0.3570137443
322	0.3569596413
323	0.3569138676
324	0.3568592401
325	0.3567829692
326	0.3567245758
327	0.3567121312
328	0.3566271056
329	0.3565548233
330	0.3565083471
331	0.3564753169
332	0.3563623778
333	0.3562908708
334	0.3561693393
335	0.3560946263
336	0.3560346496
337	0.355989237
338	0.3559153686
339	0.3558584788
340	0.3557451807
341	0.3557162854
342	0.3556293262
343	0.3555105791
344	0.3554417704
345	0.3553772266
346	0.3553403499
347	0.3552892364
348	0.3552233802
349	0.3551772248
350	0.3551056111
351	0.3550262258
352	0.3549517103
353	0.3549217858
354	0.3548899059
355	0.3548089956
356	0.3547425596
357	0.3546809148
358	0.3546501757
359	0.3545959634
360	0.3545596627
361	0.3545313197
362	0.3544800163
363	0.3544191439
364	0.3543803397
365	0.3543020647
366	0.3542537252
367	0.354168625
368	0.3541258436
369	0.3541027394
370	0.3540573283
371	0.3539754644
372	0.3539346555
373	0.3538470426
374	0.3537874084
375	0.3537554063
376	0.3537377894
377	0.353683217
378	0.3536338214
379	0.3535832913
380	0.3535492175
381	0.3534780147
382	0.3534140066
383	0.3533643062
384	0.3533009286
385	0.353271785
386	0.3532402659
387	0.3532334028
388	0.353177509
389	0.3531397749
390	0.3530972708
391	0.3530580168
392	0.3530087864
393	0.3529714261
394	0.3529096696
395	0.3528784504
396	0.3528482315
397	0.352789757
398	0.3527321128
399	0.352694385
400	0.3526278268
401	0.3525637097
402	0.3524794032
403	0.3524380811
404	0.3523585339
405	0.3522279481
406	0.3521303231
407	0.3520829798
408	0.3520573458
409	0.3520207703
410	0.3519570519
411	0.3519085437
412	0.351808955
413	0.3517406441
414	0.3516902863
415	0.3516358102
416	0.3515876043
417	0.3515248865
418	0.351427567
419	0.3513446821
420	0.3512596399
421	0.351234335
422	0.3511746536
423	0.3511382932
424	0.3511005792
425	0.3510062676
426	0.3509553442
427	0.350895205
428	0.3508703019
429	0.3508524854
430	0.3507990635
431	0.3507158299
432	0.3506770902
433	0.3506312654
434	0.350581652
435	0.3505297883
436	0.3505123108
437	0.3504811775
438	0.3504487798
439	0.3504050914
440	0.3503521523
441	0.350307141
442	0.3502611432
443	0.3501751899
444	0.3500995207
445	0.3500621273
446	0.3500220908
447	0.3499731359
448	0.3499469699
449	0.3498994745
450	0.3498556954
451	0.3498003729
452	0.3497415167
453	0.349691505
454	0.3496127069
455	0.3495565003
456	0.3495253627
457	0.3494818297
458	0.3494532959
459	0.3493530681
460	0.3493192743
461	0.3492489462
462	0.349204275
463	0.3491639408
464	0.3491139666
465	0.3490724861
466	0.3490470835
467	0.3490027757
468	0.348971136
469	0.3489099783
470	0.3488915401
471	0.348817387
472	0.3487606565
473	0.3487303187
474	0.3487085743
475	0.3486706343
476	0.3486405098
477	0.34860357
478	0.3485784254
479	0.3485505049
480	0.3485084515
481	0.3484596459
482	0.3483953978
483	0.3483686419
484	0.3483498948
485	0.3483381767
486	0.3482825689
487	0.3482487069
488	0.3482337173
489	0.3481970219
490	0.3481611759
491	0.3480778353
492	0.348041003
493	0.3480243533
494	0.3479736388
495	0.3479529389
496	0.3479483722
497	0.3479144875
498	0.3478556108
499	0.3478075009
500	0.3477569219
501	0.3477109094
502	0.3476721901
503	0.3476156371
504	0.3475869736
505	0.3475241386
506	0.3474256606
507	0.3474023917
508	0.3473432082
509	0.3472692843
510	0.3472229009
511	0.3471862055
512	0.3471569343
513	0.3470624542
514	0.3469843671
515	0.3469424882
516	0.3469208166
517	0.3468991626
518	0.3468594114
519	0.3468006762
520	0.3467395852
521	0.3467093991
522	0.3466643995
523	0.3466361281
524	0.3465797765
525	0.346570515
526	0.34649694
527	0.3464568424
528	0.3464363428
529	0.3464219861
530	0.3464016116
531	0.3463413661
532	0.3462974148
533	0.3462762767
534	0.3462030672
535	0.3461739093
536	0.3461456697
537	0.3461216317
538	0.3460984877
539	0.3460765792
540	0.346063112
541	0.3460287723
542	0.3459573435
543	0.3459175853
544	0.3458181235
545	0.3457918571
546	0.3457694583
547	0.3457350984
548	0.3456780584
549	0.3456308016
550	0.3456076437
551	0.3455885827
552	0.3455678265
553	0.3455309926
554	0.345469446
555	0.3454547688
556	0.3453939402
557	0.3453549704
558	0.345284475
559	0.3452604885
560	0.3452151542
561	0.3452140646
562	0.3451832836
563	0.3451461252
564	0.3451077458
565	0.3450664609
566	0.3450395244
567	0.3450075565
568	0.3449837927
569	0.3449375751
570	0.3448999476
571	0.3448199562
572	0.3447778429
573	0.3447531028
574	0.344733656
575	0.3446886858
576	0.3446772584
577	0.3446348431
578	0.3445894517
579	0.3445439828
580	0.3445316086
581	0.3444501088
582	0.3444337595
583	0.3444203379
584	0.3443936047
585	0.3443673801
586	0.3443602062
587	0.3443409629
588	0.3442723509
589	0.3442306445
590	0.3441865615
591	0.3441474157
592	0.3441299993
593	0.3441132889
594	0.3440994567
595	0.3440550729
596	0.3440251701
597	0.3439690879
598	0.3439605685
599	0.3439505758
600	0.3438895768
601	0.3438570036
602	0.3438215422
603	0.343811971
604	0.3437656552
605	0.3437374347
606	0.3436766527
607	0.3436511391
608	0.3436305893
609	0.3435979796
610	0.3435858307
611	0.3435595336
612	0.3435122521
613	0.3434862908
614	0.3434372118
615	0.3433961201
616	0.3433292952
617	0.3433076742
618	0.3432707581
619	0.3432362786
620	0.3431713333
621	0.3431239904
622	0.3431115727
623	0.3430883671
624	0.3430524911
625	0.3430234364
626	0.3430061181
