iter	Passed	Remaining
0	35	35955
1	48	23962
2	60	19990
3	82	20620
4	98	19569
5	111	18453
6	124	17650
7	139	17338
8	152	16806
9	164	16267
10	175	15785
11	184	15175
12	194	14799
13	203	14345
14	211	13864
15	216	13335
16	225	13040
17	232	12684
18	242	12521
19	252	12364
20	261	12211
21	270	12023
22	279	11874
23	287	11695
24	296	11556
25	304	11389
26	315	11369
27	326	11330
28	336	11277
29	346	11206
30	355	11119
31	363	11005
32	384	11252
33	393	11186
34	402	11102
35	411	11005
36	418	10896
37	427	10816
38	435	10720
39	442	10620
40	450	10528
41	457	10444
42	465	10355
43	472	10268
44	480	10199
45	488	10127
46	499	10118
47	507	10072
48	515	10000
49	524	9968
50	533	9919
51	540	9860
52	548	9798
53	556	9747
54	566	9728
55	573	9669
56	581	9617
57	589	9566
58	597	9525
59	605	9480
60	612	9432
61	621	9405
62	629	9355
63	634	9276
64	641	9230
65	649	9195
66	660	9195
67	669	9172
68	676	9134
69	685	9102
70	693	9077
71	701	9045
72	709	9006
73	717	8973
74	725	8950
75	732	8902
76	739	8867
77	749	8862
78	757	8830
79	765	8807
80	773	8776
81	784	8777
82	791	8749
83	799	8717
84	807	8692
85	815	8665
86	823	8644
87	832	8625
88	842	8621
89	850	8595
90	858	8573
91	865	8546
92	873	8522
93	882	8509
94	891	8487
95	898	8460
96	906	8434
97	914	8421
98	922	8394
99	930	8372
100	937	8348
101	945	8326
102	955	8318
103	970	8363
104	979	8351
105	989	8345
106	999	8342
107	1006	8315
108	1016	8305
109	1023	8281
110	1031	8258
111	1038	8237
112	1048	8226
113	1064	8269
114	1074	8270
115	1086	8276
116	1095	8267
117	1106	8271
118	1116	8263
119	1126	8263
120	1141	8295
121	1176	8466
122	1187	8467
123	1196	8452
124	1203	8422
125	1210	8393
126	1217	8367
127	1224	8338
128	1230	8306
129	1238	8285
130	1245	8265
131	1253	8242
132	1261	8224
133	1268	8199
134	1276	8180
135	1284	8158
136	1293	8151
137	1301	8130
138	1309	8109
139	1321	8117
140	1329	8097
141	1336	8074
142	1343	8052
143	1351	8033
144	1358	8012
145	1367	7998
146	1377	7995
147	1387	7986
148	1396	7976
149	1404	7956
150	1413	7945
151	1420	7925
152	1428	7908
153	1436	7892
154	1444	7874
155	1452	7856
156	1459	7838
157	1466	7814
158	1474	7800
159	1483	7790
160	1493	7780
161	1500	7761
162	1507	7743
163	1515	7726
164	1524	7715
165	1532	7700
166	1540	7684
167	1549	7673
168	1556	7655
169	1564	7638
170	1572	7621
171	1580	7608
172	1590	7604
173	1599	7591
174	1607	7576
175	1619	7580
176	1627	7568
177	1635	7552
178	1642	7534
179	1649	7513
180	1657	7499
181	1665	7484
182	1672	7467
183	1683	7466
184	1691	7450
185	1698	7433
186	1704	7409
187	1713	7400
188	1721	7384
189	1729	7374
190	1737	7360
191	1745	7347
192	1753	7332
193	1762	7322
194	1772	7317
195	1780	7304
196	1789	7294
197	1797	7279
198	1805	7265
199	1812	7250
200	1820	7237
201	1828	7222
202	1835	7207
203	1843	7192
204	1851	7181
205	1859	7166
206	1867	7154
207	1876	7143
208	1883	7128
209	1891	7114
210	1898	7100
211	1907	7090
212	1915	7076
213	1922	7062
214	1932	7055
215	1940	7041
216	1948	7029
217	1956	7019
218	1964	7007
219	1973	6996
220	1981	6984
221	1988	6969
222	1997	6958
223	2004	6945
224	2012	6932
225	2020	6919
226	2028	6908
227	2036	6895
228	2043	6881
229	2051	6869
230	2070	6892
231	2078	6881
232	2089	6877
233	2098	6870
234	2108	6864
235	2119	6862
236	2128	6852
237	2139	6849
238	2148	6841
239	2159	6839
240	2167	6825
241	2176	6815
242	2183	6803
243	2193	6795
244	2200	6780
245	2206	6762
246	2213	6749
247	2228	6756
248	2235	6743
249	2245	6735
250	2254	6726
251	2262	6716
252	2270	6704
253	2290	6726
254	2299	6716
255	2310	6715
256	2322	6715
257	2332	6709
258	2343	6705
259	2352	6695
260	2362	6688
261	2373	6684
262	2381	6673
263	2391	6667
264	2402	6662
265	2412	6656
266	2421	6646
267	2429	6636
268	2439	6629
269	2449	6621
270	2458	6614
271	2470	6611
272	2478	6599
273	2486	6587
274	2496	6582
275	2504	6570
276	2513	6560
277	2522	6550
278	2531	6541
279	2540	6532
280	2552	6531
281	2560	6520
282	2568	6507
283	2577	6497
284	2585	6485
285	2592	6471
286	2600	6460
287	2607	6446
288	2615	6433
289	2622	6420
290	2630	6408
291	2640	6401
292	2648	6391
293	2656	6378
294	2663	6366
295	2671	6354
296	2679	6342
297	2687	6330
298	2695	6320
299	2708	6319
300	2716	6307
301	2725	6298
302	2732	6286
303	2740	6274
304	2748	6262
305	2756	6251
306	2763	6239
307	2771	6226
308	2778	6214
309	2787	6204
310	2795	6192
311	2803	6181
312	2811	6169
313	2819	6158
314	2826	6146
315	2833	6133
316	2842	6125
317	2851	6115
318	2860	6106
319	2867	6094
320	2878	6087
321	2887	6080
322	2896	6070
323	2904	6059
324	2913	6050
325	2921	6040
326	2929	6029
327	2935	6014
328	2943	6003
329	2952	5994
330	2961	5985
331	2971	5979
332	2983	5975
333	2998	5978
334	3006	5967
335	3019	5966
336	3033	5967
337	3044	5962
338	3055	5958
339	3067	5954
340	3081	5954
341	3116	5995
342	3130	5996
343	3145	5997
344	3155	5990
345	3166	5984
346	3198	6019
347	3207	6008
348	3215	5997
349	3221	5982
350	3228	5968
351	3236	5957
352	3244	5946
353	3249	5929
354	3257	5918
355	3266	5908
356	3277	5902
357	3285	5891
358	3293	5881
359	3301	5868
360	3308	5856
361	3316	5844
362	3323	5832
363	3332	5822
364	3340	5811
365	3348	5801
366	3356	5788
367	3366	5780
368	3374	5770
369	3382	5759
370	3391	5749
371	3398	5737
372	3406	5725
373	3415	5716
374	3423	5705
375	3431	5694
376	3441	5686
377	3448	5674
378	3459	5668
379	3468	5659
380	3477	5649
381	3486	5640
382	3497	5634
383	3509	5630
384	3523	5628
385	3532	5619
386	3542	5611
387	3549	5598
388	3557	5587
389	3566	5578
390	3577	5572
391	3586	5562
392	3595	5552
393	3604	5544
394	3614	5535
395	3622	5525
396	3632	5517
397	3641	5507
398	3649	5497
399	3660	5490
400	3669	5481
401	3680	5475
402	3691	5468
403	3701	5460
404	3712	5454
405	3724	5449
406	3736	5443
407	3747	5437
408	3755	5426
409	3764	5417
410	3774	5408
411	3782	5398
412	3791	5388
413	3802	5381
414	3810	5372
415	3824	5368
416	3831	5357
417	3842	5350
418	3852	5341
419	3860	5331
420	3870	5322
421	3878	5312
422	3889	5305
423	3898	5295
424	3907	5286
425	3918	5280
426	3928	5272
427	3938	5264
428	3955	5264
429	3964	5255
430	3971	5243
431	3981	5234
432	3990	5225
433	4001	5217
434	4010	5209
435	4020	5200
436	4030	5192
437	4041	5186
438	4051	5177
439	4062	5170
440	4075	5166
441	4095	5170
442	4120	5180
443	4132	5175
444	4145	5170
445	4155	5161
446	4167	5156
447	4181	5152
448	4204	5160
449	4212	5149
450	4220	5137
451	4252	5155
452	4261	5145
453	4268	5133
454	4277	5123
455	4285	5113
456	4304	5114
457	4313	5104
458	4321	5093
459	4332	5085
460	4342	5076
461	4349	5065
462	4359	5056
463	4368	5046
464	4378	5037
465	4387	5028
466	4397	5019
467	4408	5011
468	4417	5001
469	4427	4993
470	4438	4985
471	4454	4983
472	4463	4972
473	4472	4962
474	4482	4953
475	4490	4943
476	4500	4935
477	4513	4929
478	4523	4920
479	4532	4910
480	4544	4903
481	4553	4893
482	4562	4883
483	4571	4874
484	4581	4864
485	4591	4856
486	4601	4847
487	4609	4835
488	4617	4824
489	4628	4817
490	4638	4808
491	4649	4801
492	4659	4792
493	4668	4781
494	4677	4771
495	4685	4761
496	4693	4750
497	4700	4738
498	4712	4731
499	4720	4720
500	4730	4711
501	4737	4700
502	4753	4696
503	4762	4687
504	4771	4676
505	4779	4666
506	4788	4656
507	4799	4648
508	4808	4638
509	4817	4628
510	4827	4619
511	4836	4609
512	4845	4600
513	4855	4590
514	4864	4580
515	4871	4569
516	4880	4559
517	4891	4551
518	4900	4542
519	4912	4534
520	4925	4528
521	4936	4520
522	4948	4512
523	4956	4502
524	4964	4491
525	4974	4482
526	4984	4473
527	4991	4462
528	5000	4452
529	5008	4441
530	5016	4430
531	5024	4420
532	5032	4409
533	5041	4399
534	5050	4389
535	5059	4380
536	5067	4369
537	5077	4360
538	5085	4349
539	5093	4339
540	5104	4330
541	5113	4321
542	5124	4312
543	5151	4318
544	5161	4309
545	5172	4300
546	5183	4292
547	5193	4283
548	5205	4275
549	5216	4268
550	5225	4258
551	5246	4258
552	5254	4247
553	5262	4236
554	5269	4225
555	5275	4212
556	5283	4202
557	5289	4189
558	5296	4178
559	5305	4168
560	5313	4158
561	5318	4145
562	5327	4135
563	5336	4125
564	5345	4115
565	5355	4106
566	5364	4096
567	5372	4086
568	5381	4076
569	5389	4065
570	5400	4057
571	5410	4048
572	5418	4038
573	5427	4027
574	5435	4017
575	5445	4008
576	5453	3998
577	5462	3988
578	5472	3978
579	5481	3969
580	5490	3959
581	5499	3949
582	5507	3939
583	5516	3929
584	5524	3919
585	5534	3909
586	5543	3900
587	5552	3890
588	5560	3880
589	5568	3869
590	5577	3859
591	5586	3850
592	5595	3840
593	5602	3829
594	5610	3818
595	5618	3808
596	5628	3799
597	5636	3788
598	5644	3778
599	5653	3768
600	5661	3758
601	5669	3748
602	5679	3739
603	5687	3729
604	5697	3719
605	5707	3710
606	5719	3703
607	5730	3694
608	5740	3685
609	5751	3677
610	5760	3667
611	5771	3659
612	5781	3650
613	5790	3640
614	5799	3630
615	5808	3620
616	5817	3611
617	5829	3603
618	5837	3593
619	5848	3584
620	5857	3575
621	5866	3565
622	5875	3555
623	5883	3544
624	5893	3535
625	5901	3525
626	5909	3515
627	5917	3505
628	5927	3495
629	5936	3486
630	5945	3477
631	5954	3467
632	5963	3457
633	5973	3448
634	5982	3438
635	5991	3429
636	6001	3419
637	6010	3410
638	6020	3401
639	6028	3391
640	6038	3381
641	6047	3372
642	6056	3362
643	6063	3352
644	6073	3342
645	6082	3333
646	6091	3323
647	6100	3314
648	6109	3304
649	6119	3294
650	6128	3285
651	6138	3276
652	6149	3267
653	6159	3258
654	6172	3251
655	6188	3245
656	6202	3238
657	6213	3229
658	6227	3222
659	6241	3215
660	6274	3217
661	6283	3208
662	6291	3197
663	6300	3188
